,Title,Date,Rating,Description,Score,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,Pac-Man,9-Aug-06,E,"[Xbox Live Arcade]  Play one of the all-time classic videogames with Pac-Man. Move through treacherous mazes and eat all the Pac-Dots to clear each stage while avoiding the sinister ghosts. Eat Power Pellets to become temporarily invincible. Turn the tables on the ghosts and chase them down. Eat all four ghosts to ear the most bonus points. Are you skilled enough to stay alive through all the stages? This classic video game was released in 1980, and became a phenomenon around the world. The Guinness Book of World Records acknowledged Pac-Man as the ""Most Successful Coin-Operated Game in History"" in 2005. Now you won't need a pocketful of quarters to play this classic arcade title. [Namco Bandai]",Metascore 62 out of 100,90,Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,0,0.08,7.81
2,Pac-Man,,,,,,,,,,,,,,,
,Kinect Sports,6-Jun-17,E10+,"This action sports compilation for the Xbox 360's motion-sensing accessory Kinect features boxing, bowling, beach volleyball, soccer, ping-pong, and traditional athletic events.",Metascore 73 out of 100,140,Kinect Sports,X360,2010,Sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24
,Metal Gear Solid,21-Jun-24,M,"You are Snake, a government agent on a mission to regain control of a secret nuclear weapons base from terrorist hands. Lightly armed and facing an army of foes, Snake must avoid firefights in order to survive. If Snake can locate them he can utilize advanced hardware, ranging from silenced pistols to ground-to-air missiles. Enemies react to sight and sound - so stay quiet and stay in the shadows. State-of-the-art graphics: textures, transparencies, models and explosions. Taut, gripping story with multiple endings - a truly cinematic experience.",Metascore 94 out of 100,146,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03
,Monster Hunter Freedom Unite,12-Sep-06,E10+,"The Monster Hunter world is always changing and you will need to be ready for anything - but killing and trapping monsters will always be most important part of your duty. Monster Hunter Freedom Unite is the biggest game of the series so far, letting you adventure with up to three friends through over 500 hours of gameplay. In MHFU you can battle previously unseen monsters in new environments, not to mention the many new weapons and armor sets available. From devising the strategy to executing the attack, team play with your friends is going to be key to hunting down the ferocious beasts. MHFU rewards considered tactics and well-executed combat sequences so plan and work together and you will prosper. [Capcom]",Metascore 81 out of 100,162,Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,0.47,0.57,4.13,0.34,5.5
,The Simpsons: Hit & Run,5-Jul-10,T,"The Simpsons Hit & Run is a mission-based driving game featuring out-of-the-car platform action, the interactive world of Springfield,and the signature humor of the Simpsons. New story and dialogue crafted by writers from The Simpsons television show. All character voices supplied by the cast of The Simpsons television show. Over 56 missions in 7 huge levels. Explore Springfield on foot as Homer, Bart, Lisa, Marge,and Apu. Hidden pick-ups containing trivia material from 300-plus episodes of The Simpsons. [Vivendi Universal]",Metascore 78 out of 100,225,The Simpsons: Hit & Run,PS2,2003,Racing,Vivendi Games,1.73,2.19,0,0.79,4.7
,Batman: Arkham Asylum,17-Nov-10,E,"In Batman: Arkham Asylum, the player assumes the role of Batman as he delivers The Joker to Arkham Asylum. There, the imprisoned super-villains have set a trap and an immersive combat gaming experience unfolds. With an original script penned by Emmy Award-winning Batman writer Paul Dini, the game brings the universe of DC Comics' detective to life with stunning graphics. Batman: Arkham Asylum offers players the chance to battle Gotham's worst villains with Batman's physical and psychological strength in a graphically distinct and story-driven game. [Eidos Interactive]",Metascore 92 out of 100,263,Batman: Arkham Asylum,PS3,2009,Action,Eidos Interactive,2.23,1.34,0.07,0.61,4.25
,Super Paper Mario,9-Apr-07,E,"The newest chapter of the Paper Mario story isn't just out of this world ... it's out of this dimension. What at first glance appears to be a 2-D sidescroller ripped straight from the pages of the Paper Mario universe soon turns into a 3-D action-adventure that defies all video game logic. Fusing 2-D and 3-D perspectives, not to mention RPG and platformer elements, the game slips back and forth between dimensions. The action sprawls across eight worlds filled with traps, puzzles, bizarre mysteries and items that often draw themselves out of thin air. Oh, and just because Mario's in the title doesn't mean he's the only star – players also get to play as Peach and Bowser. [Nintendo]",Metascore 85 out of 100,330,Super Paper Mario,Wii,2007,Platform,Nintendo,1.98,0.88,0.59,0.32,3.76
,The Witcher 3: Wild Hunt,23-Mar-04,T,"With the Empire attacking the Kingdoms of the North and the Wild Hunt, a cavalcade of ghastly riders,  breathing down your neck, the only way to survive is to fight back. As Geralt of Rivia, a master swordsman and monster hunter, leave none of your enemies standing. Explore a gigantic open world, slay beasts and decide the fates of whole communities with your actions, all in a genuine next generation format.",Metascore 92 out of 100,332,The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,0.96,2,0.21,0.56,3.73
,Batman: Arkham Asylum,17-Nov-10,E,"In Batman: Arkham Asylum, the player assumes the role of Batman as he delivers The Joker to Arkham Asylum. There, the imprisoned super-villains have set a trap and an immersive combat gaming experience unfolds. With an original script penned by Emmy Award-winning Batman writer Paul Dini, the game brings the universe of DC Comics' detective to life with stunning graphics. Batman: Arkham Asylum offers players the chance to battle Gotham's worst villains with Batman's physical and psychological strength in a graphically distinct and story-driven game. [Eidos Interactive]",Metascore 92 out of 100,376,Batman: Arkham Asylum,X360,2009,Action,Eidos Interactive,2.2,0.97,0.02,0.31,3.5
